"simplified";"traditional";"pinyin";"description"
"掂尿";"掂尿";"dim1 slui1";"从后抱起小孩让其小便。"
"踮脚";"踮腳";"dim1 goek3";"抬起脚跟以脚尖着地而立。"
"点卖";"點賣";"dim2 maai4";"询问价格，怎么卖：猪肉~？"
"扂过坴蔗";"扂過坴蔗";"dim4 gwo3 luk1 ze3";"比甘蔗还直，比喻事情非常顺利：今日啲题我全部都识做，～！"
"颠倒";"顛倒";"din1 dau3";"反而：我好心帮佢，佢～诬赖我。"
"颠三倒四";"顛三倒四";"din1 slaam1 dau2 sli3";"形容说话做事错杂紊乱，没有条理"
"癫废";"癲廢";"din1 fai3";"神经不正常，言行不合常理"
"癫癫废废";"癲癲廢廢";"din1 din1 fai3 fai3";"疯疯癫癫：你冇跟帮嘢～！"
"癫佬";"癲佬";"din1 lau2";"疯子"
"癫𠵿";"癲𠵿";"din1 pe1";"疯子，傻子"
"癫婆";"癲婆";"din1 po4";"疯婆子"
"癫仔";"癲仔";"din1 zai2";"疯子"
"短命";"短命";"din2 meng4";"①寿命不长，折寿；②咒骂人早死。"
"短命鬼";"短命鬼";"din2 meng4 gwai2";"①不幸早死的人；②咒骂人早死的话。"
"短筒裤";"短筒褲";"din2 tung2 fu3";"遮盖下体至大腿的裤子"
"短袖衫";"短袖衫";"din2 zau4 saam1";"衣袖覆盖上臂的衣服"
"电车";"電車";"din4 ce1";"指电动汽车。"
"电饭煲";"電飯煲";"din4 faan4 bau1";"电饭锅，利用电能转变为内能的炊具，常用于煮饭。"
"电油";"電油";"din4 jau4";"干电池。"
"电鱼";"電魚";"din4 nji4";"利用蓄电池放电将鱼击晕的捕鱼。"
"电猫";"電貓";"din4 meu1";"电动摩托车的戏称。"
"电灯胆";"電燈膽";"din4 dang1 daam2";"电灯泡。"
"钉书机";"釘書機";"ding1 si1 gi1";"用来装订书籍、纸张等的工具。"
"顶颈";"頂頸";"ding2 geng2";"顶嘴，抬杠，争辩：佢成日同佢公仔～。"
"顶得顺";"頂得順";"ding2 dak1 san4";"受得了，承受得住：我冇～了。"
"顶使";"頂使";"ding2 sai2";"抵用，有用：落雨咁大，雨遮边啲～噶?"
"顶硬上";"頂硬上";"ding2 ngaang4 soeng2";"硬着头皮上：明识冇够打都要～。"
"顶你个肺";"頂你個肺";"ding2 ni2 go3 fai3";"粗口，骂人的话：我～！"
"定定";"定定";"ding4 ding4";"静止不动：徛～"
"定局";"定局";"ding4 guk4";"确定的、不可改变的局面或形势：输～"
"定𣔻";"定𣔻";"ding4 dot4";"呆滞不动：饮多两杯佢冇~了咩！"
"碟仔";"碟仔";"dip4 zai2";"碟子：畀一～豉油我。"
"跌穿头";"跌穿頭";"dit3 cin1 tau4";"摔破头：昨日坐单车～。"
"跌跤";"跌跤";"dit3 geu1";"即摔跤，失去平衡摔倒在地上"
"跌落";"跌落";"dit3 lok4";"掉进，坠下：条衫～楼了。"
"丢荒";"丟荒";"diu1 fong1";"农地闲置：你留块地～不如栽啲菜。"
"丢架";"丟架";"diu1 gaa4";"丢脸：一世人冇咁～过。"
"丢丑人";"丟醜人";"diu1 cau2 njan4";"丢人现眼，丢脸：你冇要在啲～啦。"
"屌閪";"屌閪";"diu2 hai1";"性交（男方），詈语"
"屌臭";"屌臭";"diu2 cau3";"詈语，用于骂人或表失望、愤怒的情绪"
"屌搉";"屌搉";"diu2 kak1";"詈语，指骂人、数落人：昨晚又着我老豆～"
"屌爆炸";"屌爆炸";"diu2 baau3 zaa3";"詈语，用于骂人或表失望、愤怒的情绪，亦简称“屌爆”"
"屌唏唅";"屌唏唅";"diu2 hi4 ham4";"用詈语破口大骂"
"屌那㜷";"屌那㜷";"diu2 naa3 me1";"詈語。“屌你阿㜷”之合音。"
"屌你老揈";"屌你老揈";"diu2 ni2 lau2 fing3";"詈语，用于骂人"
"屌你老□";"屌你老□";"diu2 ni2 lau2 sing3";"同“屌你老揈”。"
"屌你老乸块烂臭閪";"屌你老乸塊爛臭閪";"diu2 ni2 lau2 naa2 faa3 laan4 cau3 hai1";"詈语。“块”字变音为“faa3”。"
"吊𣔻𣔻";"吊𣔻𣔻";"diu3 dot4 dot4";"悬挂在空中的样子：条裤～到。"
"吊颈";"吊頸";"diu3 geng2";"上吊自杀：昨日有只学生～死了。"
"吊脚";"吊腳";"diu3 goek3";"形容某地交通不便，前往该地不顺路或距离远：你讲间大排档咁～，应该都冇咩生意哦！"
"吊𡲢";"吊𡲢";"diu3 ke1";"拉大便。"
"吊屎";"吊屎";"diu3 si2";"形容态度不明确，令人难以捉摸：约了佢几次佢都系讲睇睇过正，够～噶！"
"吊针";"吊針";"diu3 zam1";"打点滴：去亲医院医生都要我～。"
"钓鱼鞭";"釣魚鞭";"diu3 nji4 bin1";"钓鱼竿"
"钓鱼鹰";"釣魚鷹";"diu3 nji4 jing1";"翠鸟"
"调转";"調轉";"diu4 zin3 ";"转过来：～车头。"
"调转头";"調轉頭";"diu4 zin3 tau4";"①调头；②反过来"
"多烦";"多煩";"do1 faan4";"请托致谢的客套话，有劳。"
"多口";"多口";"do1 hau2";"形容话太多或说了不该说的话：都怪我太～。"
"多余";"多餘";"do1 ji4";"多此一举：你咁～理啲事做咩？"
"多手";"多手";"do1 sau2";"喜欢乱动别人物品"
"多手多脚";"多手多腳";"do1 sau2 do1 goek3";"手脚不安分，喜欢乱动别人东西"
"多事";"多事";"do1 sli4";"爱管闲事：只阿伯好～！"
"多锱絷";"多錙縶";"do1 zi1 zap1";"麻烦多的：你只嘢真系够～哦！"
"多嘴";"多嘴";"do1 zui2";"形容话太多或说了不该说的话：～喂！识错未"
"多数全，少数份";"多數全，少數份";"do1 slu3 cin4,siu2 slu3 fan4";"手心手背游戏：～，全份！"
"躲荫";"躲蔭";"do2 jam1";"乘凉：走落树底～。"
"垛定";"垛定";"do4 ding4";"稳稳地放置，指稳定地存在：有栋屋~在啲，你惊咩啰？"
"度身";"度身";"dok4 san1";"量身：～定做"
"当风";"當風";"dong1 fung1";"处于风口"
"当街";"當街";"dong1 gaai1";"（房屋、店铺等）临近要道，位置显眼优越"
"当街当巷";"當街當巷";"dong1 gaai1 dong1 hong4";"同“当街”"
"当行";"當行";"dong1 hong4";"同“当街”"
"当面牙";"當面牙";"dong1 min4 ngaa4";"门牙"
"当铺";"當鋪";"dong3 pu3";"典当行"
"当金当宝";"當金當寶";"dong3 gam1 dong3 bau2";"形容把自己的物品或者小孩当宝贝一样，常含贬义：捉只仔～来养。"
"档口";"檔口";"dong3 hau2";"做小生意的店面、摊点"
"荡街";"蕩街";"dong4 gaai1";"逛街"
"都得";"都得";"du1 dak1";"尚可，作修饰成分时成框式结构“都…得”：盘花都冇系几难睇得|支笔都使得。"
"赌码";"賭碼";"du2 maa2";"指赌博六合彩。"
"㨃冧";"㨃冧";"dui2 lam3";"打倒、击败：昨晚劈酒着佢～了。"
"对冇住";"對冇住";"dui3 mau2 zi4";"对不住，对不起"
"对正";"對正";"dui3 zing3";"正对着"
"对虾";"對蝦";"dui3 haa1";"钦南区四大名贵海产品之一，本地主要品种有长毛对虾、墨吉对虾、日本对虾，引进品种有班节对虾、南美白对虾等。肉质鲜美，营养价值高。"
"对对碰";"對對碰";"dui3 dui3 pung3";"麻将用语，即“碰碰胡”“对对胡”，由四个碰（或杠）组成的胡牌"
"兑钱";"兌錢";"dui3 cin4";"①把整钱换成零钱或把零钱换成整钱；②把一种货币换成另一种货币。"
"兑散钱";"兌散錢";"dui3 slaan2 cin4";"把整钱换成零钱或把零钱换成整钱，亦作“兑散纸”。"
"兑散纸";"兌散紙";"dui3 slaan2 zi2";"把整钱换成零钱或把零钱换成整钱"
"㞘底";"㞘底";"duk1 dai2";"底部：～仲有啲水。"
"𧰵灰";"𧰵灰";"duk1 fui1";"告密，告发，举报"
"𧰵水";"𧰵水";"duk1 sui2";"通风报信，告密，举报：我识系边人～一定做死佢！"
"𧰵水佬";"𧰵水佬";"duk1 sui2 lau2";"告密者"
"𧰵背脊";"𧰵背脊";"duk1 bui3 zek3";"在背后说人坏话：我成日着人哋～。"
"𧰵卒";"𧰵卒";"duk1 zat1";"象棋中向前移动“卒”"
"䐁底";"䐁底";"duk1 dai2";"底部：～仲有啲水。"
"独独";"獨獨";"duk4 duk4";"唯独，只：一只班咁多人，做咩老师～罚你?"
"独流水";"獨流水";"duk4 lau4 sui2";"全日潮，一个潮汐日只出现一次涨落。"
"独谋";"獨謀";"duk4 mau4";"形容人自私自利，只为自己着想"
"独食";"獨食";"duk4 sik4";"①独占好处，不与人分享；②一种牌戏"
"东讲西讲";"東講西講";"dung1 gong2 slai1 gong2";"形容人口无遮拦"
"东南西北";"東南西北";"dung1 naam4 slai1 bak1";"①甘薯天蛾的蛹，将其用手捏住时，尾部会朝各个方向转动，遂得名“东南西北”；②一种折纸游戏"
"东闪闪，西闪闪，有雨冇几点";"東閃閃，西閃閃，有雨冇幾點";"dung1 sim2 sim2,slai1 sim2 sim2,jau2 ji2 mau2 gi2 dim2";"钦州农谚：东边西边都电闪雷鸣，就算下雨也不会太大。"
"冬瓜糖";"冬瓜糖";"dung1 gwaa1 tong4";"一种用冬瓜为原材料加蔗糖熬制成的凉果脯小吃。"
"𢫝水衣";"𢫝水衣";"dung1 sui2 ji1";"披雨衣"
"拗断";"拗斷";"eu2 tin2";"折断"
"花假";"花假";"faa1 gaa2";"虚假，不真实：做人冇要～。"
"花蛤";"花蛤";"faa1 gaap3";"即菲律宾帘蛤，海生贝类的一种，可食用，营养价值很高。"
"花撩";"花撩";"faa1 leu1";"言行举止轻浮：只～婆！"
"花哩睩";"花哩睩";"faa1 li1 luk1";"颜色过分鲜艳繁杂，亦作“花哩睩曲""：本书着佢画得～到。"
"花花睩睩";"花花睩睩";"faa1 faa1 luk1 luk1";"颜色过分鲜艳繁杂：条衫～。"
"花蚊";"花蚊";"faa1 man1";"泛指白纹伊蚊、埃及伊蚊等黑白条纹相间的小蚊子。"
"花猫公";"花貓公";"faa1 meu1 gung1";"比喻脸上有污痕的人"
"花名";"花名";"faa1 ming4";"绰号"
"花洒";"花灑";"faa1 saa2";"浇花的喷壶，淋浴的喷头"
"花洒头";"花灑頭";"faa1 saa2 tau4";"淋浴喷头"
"花肾";"花腎";"faa1 san2";"①式样；②花样，点子：冇使你搞咁多～"
"花头鸭";"花頭鴨";"faa1 tau4 aap3";"比喻喜欢爱出风头的人"
"化閪";"化閪";"faa3 hai1";"詈语，“块閪”的变音，表强烈负面情绪：～！又输！"
"化石";"化石";"faa3 sek4";"“化閪”的委婉说法"
"快脆";"快脆";"faai3 cui3";"干脆利落，利索：佢办事好～。"
"快手";"快手";"faai3 sau2";"动作迅速：春运抢票要～。"
"快手快脚";"快手快腳";"faai3 sau2 faai3 goek3";"动作利索，做事麻利"
"快食面";"快食麪";"faai3 sik4 min4";"方便面，亦称“快餐面”“速食面”"
"筷子筒";"筷子筒";"faai3 zi2 tung4";"放置筷子的筒状器具"
"番枧";"番梘";"faan1 gaan2";"肥皂"
"番鬼";"番鬼";"faan1 gwai2";"洋人，特指西方人：刘义打～，越打越好睇。"
"番鬼芋";"番鬼芋";"faan1 gwai2 ji4";"芭蕉芋"
"番鬼佬";"番鬼佬";"faan1 gwai2 lau2";"洋人，外国人"
"番茄";"番茄";"faan1 ke4";"西红柿"
"番蛮";"番蠻";"faan1 maan4";"蛮横，不讲理：只嘢撞到人家冇赔钱仲在啲闹人，够~嘅！"
"番薯";"番薯";"faan1 si4";"又称红薯、地瓜"
"番薯巴";"番薯巴";"faan1 si4 baa1";"红薯干"
"番薯菜";"番薯菜";"faan1 si4 coi3";"即薯菜，红薯（学名：Ipomoea batatas）的嫩藤及叶子，钦州常见的食材"
"番薯藤";"番薯藤";"faan1 si4 tang4";"红薯的嫩藤，钦州常见的食材"
"番桃";"番桃";"faan1 tau4";"热带果树，俗称拔番石榴子、那拔。因其来自国外，故名为番桃。"
"翻北风";"翻北風";"faan1 bak1 fung1";"刮北风：今晚～。"
"翻翻仆仆";"翻翻僕僕";"faan1 faan1 puk1 puk1";"横七竖八，形容很杂乱：你作啲嘢耖得～又冇执拾好。"
"翻风";"翻風";"faan1 fung1";"起风。"
"翻面";"翻面";"faan1 min4";"翻脸。"
"翻转";"翻轉";"faan1 zin3";"反转：帮我调～张沙发喂。"
"翻邅斗";"翻邅鬥";"faan1 zin1 dau2";"翻跟斗。"
"返生";"返生";"faan1 saang1";"复活"
"返转头";"返轉頭";"faan1 zin3 tau4";"①回头、折返：错过了就冇得～；②被自己的行为反作用：佢走去惹人家，结果捱人哋打～"
"反骨";"反骨";"faan2 gwat1";"忘恩负义，吃里扒外：只嘢真系够～！竟然帮外头人打自己人。"
"反骨仔";"反骨仔";"faan2 gwat1 zai2";"叛徒，吃里扒外的人"
"反面";"反面";"faan2 min4";"翻脸：再唱我我就～！"
"贩话";"販話";"faan3 waa4";"说废话：冇得闲同你~。"
"犯口流";"犯口流";"faan4 hau2 lau4";"多嘴多舌，说废话。"
"犯人憎";"犯人憎";"faan4 njan4 zang1";"令人讨厌，引起公愤。"
"犯众憎";"犯衆憎";"faan4 zung3 zang1";"令人讨厌，引起公愤：佢噉子做法梗系～啦！"
"饭铲头";"飯鏟頭";"faan4 caan2 tau4";"眼镜蛇"
"饭壳";"飯殼";"faan4 hok3";"舀饭的勺子"
"饭匙";"飯匙";"faan4 si4";"饭勺。"
"发春";"發春";"faat3 can1";"发情：公狗～。"
"发抽筋";"發抽筋";"faat3 cau1 gan1";"肌肉痉挛"
"发大瘟";"發大瘟";"faat3 daai4 wan1";"詈语，指发疯或发疯的人，亦简称“发瘟”：你只～一日到黑就识去摸麻将！"
"发达";"發達";"faat3 daat4";"发迹，发财，兴盛"
"发唗瘟";"發唗瘟";"faat3 dau1 wan1";"发疯，骂人的话"
"发癫";"發癲";"faat3 din1";"发疯"
"发毒";"發毒";"faat3 duk4";"伤口发炎：啱做齐手术冇得食豆类噶，肯～讲。"
"发花癫";"發花癲";"faat3 faa1 din1";"犯花痴"
"发鸡盲";"發雞盲";"faat3 gai1 maang4";"①讽刺一个人视力不好或走路不长眼睛；②夜盲症。"
"发糕";"發糕";"faat3 gau1";"一种以糯米蒸煮制成的饼类食物，清明期间用于祭祀先祖。"
"发狗癫";"發狗癲";"faat3 gau2 din1";"狂犬病发作"
"发姣";"發姣";"faat3 haau4";"形容女性举止轻浮：只娘妈真系～，系只公嘅佢都会撩。"
"发觉";"發覺";"faat3 kok3";"发现，意识到"
"发烂𧨊";"發爛𧨊";"faat3 laan4 zaa4";"发脾气，耍小性子，无理取闹：冇买玩具畀佢佢就～。"
"发冷";"發冷";"faat3 laang2";"身体感到寒冷"
"发懵";"發懵";"faat3 mung2";"发呆，犯糊涂"
"发梦";"發夢";"faat3 mung4";"做梦"
"发眼黑";"發眼黑";"faat3 ngaan2 hak1";"眼前发黑"
"发痧濑屎";"發痧瀨屎";"faat3 saa1 laai4 si2";"进食过量而导致肠胃不舒服、拉肚子：食猪脚食到～"
"发市";"發市";"faat3 si2";"每日做成的首单生意：三年冇～，～食三年"
"发屎窒";"發屎窒";"faat3 si2 zat1";"便秘：人哋讲食多番桃会～。"
"发性";"發性";"faat3 sleng3";"发脾气：讲佢两句佢就～了。"
"发水";"發水";"faat3 sui2";"白开水"
"发瘟";"發瘟";"faat3 wan1";"同“发大瘟”。"
"发瘟鸡";"發瘟雞";"faat3 wan1 gai1";"形容弱不禁风或精神不振的人"
"发乌膎";"發烏膎";"faat3 wu1 gai1";"衣物久置而出现黄黑色的点状霉斑"
"发猪癫";"發豬癲";"faat3 zi1 din1";"发疯"
"发狗癫";"發狗癲";"faat3 gau2 din1";"狂犬病发作。"
"罚徛";"罰徛";"faat4 ki2";"罚站"
"肺痨";"肺癆";"fai3 lau4";"肺结核"
"废仔";"廢仔";"fai3 zai2";"没用的人，疯子"
"废柴";"廢柴";"fai3 caai4";"没用的人"
"拂丢";"拂丟";"fak1 diu1";"剔除"
"拂走";"拂走";"fak1 zau2";"驱逐"
"礊弓";"礊弓";"fak4 gung1";"弹弓"
"分分钟";"分分鐘";"fan1 fan1 zung1";"随时：你几时需要我～赶过去。"
"纷嚣";"紛囂";"fan1 heu1";"①冒险，胡闹：你冇使咁～，一阵间跌到；②形容衣着暴露惹眼：三月冷死～乸。"
"粉肠";"粉腸";"fan2 coeng4";"猪的小肠，引申形容人蠢：条～冇识揾到路。"
"粉葛";"粉葛";"fan2 got3";"①豆科，葛属植物葛的变种（学名：Pueraria montana var. lobata），可入药，亦可食用；②形容人呆笨。"
"粉脷";"粉脷";"fan2 li4";"一种食物，用大米细磨成浆，搓搜成小圆柱状，蒸至八成熟，取出晾干而成。"
"粉仔";"粉仔";"fan2 zai2";"瘾君子：条街特别多～。"
"粪箕";"糞箕";"fan3 gi1";"①即畚箕，用木、竹、铁片做成的装垃圾、粮食等的铲状器具；②引申形容人蠢：你只～几时正做得齐份嘢？"
"粪坑";"糞坑";"fan3 haang1";"茅坑，马桶：手机跌落～了。"
"粪坑蛆";"糞坑蛆";"fan3 haang1 ci1";"粪坑里的蛆虫"
"粪桶";"糞桶";"fan3 tung2";"装粪的桶"
"忿输";"忿輸";"fan4 si1";"服输：我冇～！"
"忿得";"忿得";"fan4 dak1";"舍得，甘心，甘愿，亦作“忿得过”：噉子就放弃，我冇～。"
"飞发";"飛發";"fi1 faat3";"剪头发"
"飞发佬";"飛發佬";"fi1 faat3 lau2";"理发师傅"
"飞发铺";"飛發鋪";"fi1 faat3 pu3";"理发店。"
"飞鼠";"飛鼠";"fi1 si2";"蝙蝠"
"飞头发";"飛頭髮";"fi1 tau4 faat3";"剪头发"
"飞剪";"飛剪";"fi1 zen2";"剪头发用的推剪"
"飞天腿";"飛天腿";"fi1 tin1 tui2";"禽类的翅根部分"
"妃子笑";"妃子笑";"fi1 zi2 sliu3";"一种荔枝品种"
"挥春";"揮春";"fi1 can1";"春联"
"肥腯腯";"肥腯腯";"fi4 dat1 dat1";"形容肥胖"
"肥佬";"肥佬";"fi4 lau2";"胖子"
"肥朒";"肥朒";"fi4 nuk1";"形容肥胖的样子"
"肥朒朒";"肥朒朒";"fi4 nuk1 nuk1";"胖乎乎"
"肥头大面";"肥頭大面";"fi4 tau4 daai4 min4";"形容体态肥胖"
"肥仔";"肥仔";"fi4 zai2";"胖小子"
"肥婆";"肥婆";"fi4 po4";"胖女人"
"肥尸婠娺";"肥屍婠娺";"fi4 si1 ot4 zot4";"形容极肥，身材臃肿"
"肥豚豚";"肥豚豚";"fi4 tan4 tan4";"形容肥胖"
"肥猪婠娺";"肥豬婠娺";"fi4 zi1 ot4 zot4";"形容极肥，身材臃肿"
"火车路";"火車路";"fo2 ce1 lu4";"铁路"
"火鐖";"火鐖";"fo2 gai1";"打火机：借借～畀我点烟喂。"
"火爆";"火爆";"fo2 baau3";"①场面激烈；②极度愤怒：我头先真系好～，佢居然敢打我！"
"火车路";"火車路";"fo2 ce1 lu4";"铁路"
"火灰";"火灰";"fo2 fui1";"物体燃烧后剩下的灰烬"
"火引";"火引";"fo2 jan2";"导火线"
"火药线";"火藥線";"fo2 joek4 slin3";"导火线"
"火钳";"火鉗";"fo2 kem4";"铁制夹取柴火的工具"
"火□棍";"火□棍";"fo2 le1 gwan3";"烧火棍"
"火楝木";"火楝木";"fo2 lin4 muk4";"即苦楝树"
"火坴竹";"火坴竹";"fo2 luk1 zuk1";"火箭"
"火盆";"火盆";"fo2 pun4";"烧炭火取暖用的盆子"
"火索";"火索";"fo2 slok3";"闪电：雷公～"
"火筒";"火筒";"fo2 tung4";"吹火的管子"
"火筒菜";"火筒菜";"fo2 tung4 coi3";"大白菜"
"火砖";"火磚";"fo2 zin1";"红砖"
"火龙果";"火龍果";"fo2 lung4 gwo2";"一种热带水果，多汁，味甜"
"火炠";"火炠";"fo2 njaap3";"恼火，心绪烦躁，生气的：睇到佢冇生性嘅样子，真系～哦！"
"伙记";"夥記";"fo2 gi3";"①同伴；②配偶"
"缚手缚脚";"縛手縛腳";"fok4 sau2 fok4 goek3";"手脚受到拘束"
"方柿";"方柿";"fong1 ci3";"柿子"
"放飞机";"放飛機";"fong3 fi1 gi1";"失约，爽约：今晚又着人家～了。"
"放闲";"放閒";"fong3 haan4";"闲置：买咁多台手机留来～咩！"
"放烂";"放爛";"fong3 laan4";"放肆地、无顾忌地：老婆冇在屋，今晚得～饮了啰？②自暴自弃：佢考了几次都冇考得上，跟尾就～了。"
"放生";"放生";"fong3 saang1";"释放已捕捉的动物"
"放水";"放水";"fong3 sui2";"①将水排出，引申为小便：落课一齐去～冇？②未用尽全力：佢～畀我赢。"
"放趪";"放趪";"fong3 wong4";"放肆，嚣张：冇有人撑腰，佢冇可能咁~。"
"放胆";"放膽";"fong3 daam2";"放心大胆地：你～猜，输了我饮！"
"虎鞭";"虎鞭";"fu2 bin1";"虎的生殖器"
"苦涩";"苦澀";"fu2 gip3";"又苦又涩的味道：碟青菜～噶！"
"苦涩";"苦澀";"fu2 gep1";"“fu2 gip3”的另一种读法。"
"苦楝木";"苦楝木";"fu2 lin4 muk4";"又“火楝木”，楝科蒜楝属，木材质轻软坚韧，纹理粗而美丽，有光泽，易加工，可栽培，是制作家具的优良树种。（图自：https://commons.wikimedia.org/wiki/File:Neem.jpg）"
"苦力工";"苦力工";"fu2 lik4 gung1";"①苦力活，②干苦力活的人"
"裤袋";"褲袋";"fu3 doi4";"裤兜"
"裤脚";"褲腳";"fu3 goek3";"裤腿的最下端：改～"
"裤甩甩";"褲甩甩";"fu3 lat1 lat1";"裤子往下掉的样子：跳来跳去～。"
"裤𧟘";"褲𧟘";"fu3 nong1";"裤裆：～穿竉。"
"裤𧟘底";"褲𧟘底";"fu3 nong1 dai2";"裤裆"
"裤头";"褲頭";"fu3 tau4";"腰围：你穿几多～？"
"裤头带";"褲頭帶";"fu3 tau4 daai3";"裤腰带"
"芙蓉蛋";"芙蓉蛋";"fu4 jung4 daan4";"蛋羹"
"符法";"符法";"fu4 fet1";"①泛指迷信活动；②花招，花样：你搞咩～？"
"腑胵";"腑胵";"fu4 ci3";"禽类的肫肝"
"糊之麻溏";"糊之麻溏";"fu4 zi1 maa1 tong4";"一塌糊涂，模糊一片：做咩搞得张台～到？"
"灰水";"灰水";"fui1 sui2";"用草木灰浸泡的水"
"灰水粽";"灰水糉";"fui1 sui2 zung3";"用草木灰浸泡的水煮米做成的粽子，类似碱水粽"
"灰桶";"灰桶";"fui1 tung2";"装水泥的桶"
"风枪";"風槍";"fung1 coeng1";"即铅弹枪"
"风𢝵";"風𢝵";"fung1 fet1";"形容时髦，惹眼：你只发型咁～嗱！"
"风气";"風氣";"fung1 hi3";"形容人很骄傲、得意的样子，多带贬义：只嘢咁～，迟早捱人打一身。"
"风气球";"風氣球";"fung1 hi3 kau4";"气球"
"风殟";"風殟";"fung1 wan1";"巴掌：我扇了佢一～。"
"封包";"封包";"fung1 baau1";"红包"
"封包钱";"封包錢";"fung1 baau1 cin4";"压岁钱"
"封包皮";"封包皮";"fung1 baau1 pi4";"红包皮"
"蜂糖";"蜂糖";"fung1 tong4";"蜂蜜"
"冯宫保";"馮宮保";"fung4 gung1 bau2";"又名冯宫保第，为晚清抗法名将冯子材退居时住所，座落于钦州城北白水塘村，建于1875年。"
"逢亲";"逢親";"fung4 can1";"但凡某种情况或场合：～想出去耍都落雨。"
"逢亲都见";"逢親都見";"fung4 can1 du1 gin3";"但凡此种情况或场合都会见到：去饮酒～你噶？"
"逢饮必到";"逢飲必到";"fung4 njam2 bit1 dau3";"凡是有酒喝的场合一定会到"
"逢饮必醉";"逢飲必醉";"fung4 njam2 bit1 zui3";"凡是喝酒都会喝醉"
"逢人知己";"逢人知己";"fung4 njan4 zi1 gi2";"遇到的人都当作知己对待，喻滥交朋友"
"逢人就讲";"逢人就講";"fung4 njan4 zau4 gong2";"见到人就说，喻为人啰嗦"
"阔佬";"闊佬";"fut3 lau2";"指有钱有势的男人"
"阔婆";"闊婆";"fut3 po4";"指有钱有势的女人"
"加码";"加碼";"gaa1 maa2";"增加重量、压力或难度"
"加菜";"加菜";"gaa1 coi3";"多加菜肴改善伙食，亦指吃大餐：今日中奖晚黑要～。"
"家公";"家公";"gaa1 gung1";"丈夫的父亲"
"家婆";"家婆";"gaa1 po4";"婆婆，丈夫的母亲，亦作“家婆妈”"
"家婆妈";"家婆媽";"gaa1 po4 maa1";"同“家婆”"
"家私";"傢俬";"gaa1 sli1";"家具"
"家下";"家下";"gaa1 haa2";"现在"
"家纱";"家紗";"gaa1 saa1";"指个人物品、装备等：你咁多～几时正搬得齐？"
"家姐";"家姐";"gaa1 ze1";"姐姐。"
"假假";"假假";"gaa2 gaa2";"表示勉强肯定，至少：我～都算在钦州街有头有面。"
"假蒌";"假蔞";"gaa2 lau1";"一种胡椒科胡椒属绿叶香草（学名：Piper sarmentosum），叶子较大，炒田螺、炒牛肉的常用香料。（图自：https://commons.wikimedia.org/wiki/File:Piper_sarmentosum.jpg）"
"假嘢";"假嘢";"gaa2 nje2";"假冒、伪劣之物"
"架势";"架勢";"gaa3 sai3";"体面，有气派，够排场"
"嫁老公";"嫁老公";"gaa3 lau2 gung1";"女子嫁人"
"嫁害";"嫁害";"gaa3 hoi4";"陷害"
"嫁女";"嫁女";"gaa3 ni2";"把女儿嫁出去"
"街灯";"街燈";"gaai1 dang1";"路灯"
"街花";"街花";"gaai1 faa1";"街上公认最漂亮的女子"
"街坊";"街坊";"gaai1 fong1";"邻居，邻里"
"街巷";"街巷";"gaai1 hong4";"街道，胡同"
"街市";"街市";"gaai1 si2";"①市场，市集；②街道。"
"街市烂";"街市爛";"gaai1 si2 laan4";"生意清淡，物品不好卖"
"街市冇好";"街市冇好";"gaai1 si2 mau2 hau2";"生意清淡，物品不好卖"
"街上";"街上";"gaai1 soeng4";"①街道上；②城里的。"
"街上人";"街上人";"gaai1 soeng4 njan4";"城里人"
"街头街尾";"街頭街尾";"gaai1 tau4 gaai1 mi2";"泛指大街小巷"
"街头街角";"街頭街角";"gaai1 tau4 gaai1 gok3";"泛指大街小巷"
"街仔街妹";"街仔街妹";"gaai1 zai2 gaai1 mui1";"城市里的年轻男女"
"解裤";"解褲";"gaai2 fu3";"脱裤"
"解鞋";"解鞋";"gaai2 haai4";"脱鞋"
"解衫";"解衫";"gaai2 saam1";"脱上衣，脱衣服"
"解衫裤";"解衫褲";"gaai2 saam1 fu3";"脱衣服"
"解鞋袜";"解鞋襪";"gaai2 haai4 mat4";"脱鞋袜"
"解帽";"解帽";"gaai2 mau4";"脱帽"
"解索";"解索";"gaai2 slok3";"解绳，喻摆脱负荷、压力"
"解丢";"解丟";"gaai2 diu1";"解除（绳子的结或衣服、鞋袜、帽子等）"
"解犯佬";"解犯佬";"gaai3 faan4 lau2";"押解犯人"
"戒甩";"戒甩";"gaai3 lat1";"戒掉。"
"戒口";"戒口";"gaai3 hau2";"忌口，不吃某种食品。"
"芥兰";"芥蘭";"gaai3 laan4";"官话也作“芥蓝”，为十字花科一年生草木植物甘蓝的变种（学名：Brassica oleracea var. alboglabra，英语：gai lan），中国的特产蔬菜之一。（图自：https://commons.wikimedia.org/wiki/File:C%E1%BA%A3i_r%E1%BB%95.jpg）"
"格仔";"格仔";"gaak3 zai2";"格子，马赛克：做咩部电影啲人打~噶？"
"隔交";"隔交";"gaak3 geu1";"劝架：我过去～仲捱打了一捶。"
"隔篱";"隔籬";"gaak3 li4";"隔壁"
"隔篱邻舍";"隔籬鄰舍";"gaak3 li4 lan4 se3";"邻居；街坊"
"隔篱屋";"隔籬屋";"gaak3 li4 uk1";"邻居家"
"隔餐";"隔餐";"gaak3 caan1";"上一餐的"
"隔夜粮";"隔夜糧";"gaak3 je4 loeng4";"富余的粮食"
