"simplified";"traditional";"pinyin";"description"
"巴鱼";"巴魚";"baa1 nji4";"中文乌鳢（学名：Channa argus），肉食性淡水鱼，头似蛇，因而又有官话名蛇头鱼，口大，生性凶猛。（图自：https://commons.wikimedia.org/wiki/File:Northern_snakehead.jpg）"
"巴竭竭";"巴竭竭";"baa1 ket4 ket4";"干巴巴：你睇你煮得啲饭～。"
"芭蕉";"芭蕉";"baa1 ziu1";"①亚热带多年生草本植物，叶大呈长椭圆形；②钦州白话里亦可泛指蕉类。"
"把簿";"把簿";"baa2 bu4";"在婚宴等活动中负责掌管账目：佢读咁多书，有佢做～你就放心啦！"
"霸定";"霸定";"baa3 ding4";"占据，占着：帮我～只位置。"
"霸王";"霸王";"baa3 wong4";"形容人蛮横、霸道"
"霸位";"霸位";"baa3 wai4";"占座位"
"霸场";"霸場";"baa3 coeng4";"占据场地：记得提前半只钟头去～喎！"
"罢就";"罷就";"baa4 zau4";"作罢，算了：最后一铺同点都要搏噶喇，输了~！"
"罢自";"罷自";"baa4 zi4";"同“罢自就”"
"罢自就";"罷自就";"baa4 zi4 zau4";"作罢、自行解决：我已经捞你讲过了，冇听～。"
"摆街";"擺街";"baai2 gaai1";"在街头摆摊或等工作：阿婆，咁早就去～啦？"
"摆街佬";"擺街佬";"baai2 gaai1 lau2";"在街边的小贩或等工作的人"
"摆景";"擺景";"baai2 ging2";"展览、陈列的物品，也喻指人闲在一边没事干：佢乜嘢都冇识做，一日到黑坐在办公室啲～。"
"摆摊";"擺攤";"baai2 taan1";"在街边、市场等陈列商品出售"
"摆台";"擺檯";"baai2 toi4";"布置桌子及餐具：饭都熟了仲未～？"
"摆酒";"擺酒";"baai2 zau2";"办酒席：佢老婆大肚了，所以赶到～。"
"摆档";"擺檔";"baai2 dong3";"摆摊"
"拜山";"拜山";"baai3 saan1";"扫墓：我好多年冇回过村头～咯！"
"拜土地";"拜土地";"baai3 tu2 di4";"祭拜土地公"
"拜祖公";"拜祖公";"baai3 zu2 gung1";"祭拜祖宗"
"拜眼瞇";"拜眼瞇";"baai3 ngaan2 mi1";"打瞌睡：佢上课一直在啲～。"
"败家仔";"敗家仔";"baai4 gaa1 zai2";"恣意挥霍，空耗家产的人"
"百䗛";"百䗛";"baak3 sluk1";"蜈蚣"
"百厌";"百厭";"baak3 jim3";"淘气、顽皮：而今啲细佬哥越来越～了。"
"百䗛出竉，大雨茫茫";"百䗛出竉，大雨茫茫";"baak3 sluk1 cat1 lung1,daai4 ji2 mong4 mong4";"钦州农谚：蜈蚣纷纷爬出洞来，预示大雨即将来临。"
"伯娘";"伯娘";"baak3 noeng4";"伯母"
"白白望";"白白望";"baak4 baak4 mong4";"眼睁睁看着，形容无能为力：使齐钱了，只能～人家耍了。"
"白饼";"白餅";"baak4 beng2";"一种钦州传统小吃，以糯米、花生仁、芝麻、瓜子仁、水晶肉、花生油等为材料制成，通体呈白色，所以称白饼。"
"白饭鱼";"白飯魚";"baak4 faan4 nji4";"即银鱼，鱼的一科（Salangidae），体细长，无鳞或细鳞，白色半透明，富有营养价值。南海多见陈氏新银鱼（Neosalanx tangkahkeii）或居氏银鱼（Salanx cuvieri）。"
"白粉";"白粉";"baak4 fan2";"海洛因等毒品"
"白粉仔";"白粉仔";"baak4 fan2 zai2";"吸毒者，瘾君子"
"白鸽";"白鴿";"baak4 gaap3";"鸽子"
"白拈";"白拈";"baak4 nem1";"扒手"
